target_pool_type,target_pool,move_name_ja,damage,tier_ja,category,category_ja,eligible_styles,affinity_styles,placement,origin_pool,personal_move_review
common,共通,ストンピング,2,小技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,ボディパンチ,3,小技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,バックエルボー,3,小技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,ナックルパンチ,3,小技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,逆水平チョップ,4,小技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,エルボー・スタンプ,5,小技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,マシンガン・チョップ,5,小技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,ニーキック,6,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,ヘッドバット,6,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,低空ドロップキック,7,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,サッカーボールキック,7,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,ドロップキック,8,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,ジャンピング・エルボー,8,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,ローリング・エルボー,9,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,延髄斬り,9,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,ミサイルキック,9,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,ラリアット,10,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,スーパーキック,10,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,クローズライン,10,中技,strike,打撃,全スタイル,,共有技,common,共有技として維持
common,共通,ロックアップからの押し込み,2,小技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,ショルダータックル,3,小技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,ヒップトス,3,小技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,アームドラッグ,3,小技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,ヘッドロック・テイクダウン,3,小技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,ファイヤーマンズキャリー,4,小技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,ボディスラム,6,中技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,スープレックス,7,中技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,ブレーンバスター,8,中技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,サイド・スープレックス,8,中技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,ネックブリーカー,8,中技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,スウィンギング・ネックブリーカー,8,中技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,バックブリーカー,8,中技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,ベリー・トゥ・ベリー,9,中技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,スパインバスター,9,中技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,DDT,10,中技,throw,投げ,全スタイル,,共有技,common,共有技として維持
common,共通,チンロック,2,小技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,ネックロック,2,小技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,ヘッドロック,4,小技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,リストロック,4,小技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,ハンマーロック,3,小技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,アームリンガー,4,小技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,スリーパー・ホールド,6,中技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,フルネルソン,6,中技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,コブラツイスト,7,中技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,ベアハッグ,7,中技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,キャメルクラッチ,7,中技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,インディアン・デスロック,7,中技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,ボストンクラブ,8,中技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,アキレス腱固め,9,中技,submission,関節・絞め,全スタイル,,共有技,common,共有技として維持
common,共通,フライング・クロスボディ,7,中技,aerial,空中,全スタイル,,共有技,common,共有技として維持
common,共通,ダイビング・ボディ・プレス,8,中技,aerial,空中,全スタイル,,共有技,common,共有技として維持
common,共通,セントーン,7,中技,aerial,空中,全スタイル,,共有技,common,共有技として維持
common,共通,トペ・スイシーダ,9,中技,aerial,空中,全スタイル,,共有技,common,共有技として維持
common,共通,プランチャ・スイシーダ,8,中技,aerial,空中,全スタイル,,共有技,common,共有技として維持
common,共通,ダイビング・エルボー,8,中技,aerial,空中,全スタイル,,共有技,common,共有技として維持
common,共通,ダイビング・ヘッドバット,7,中技,aerial,空中,全スタイル,,共有技,common,共有技として維持
common,共通,ミサイルキック（飛）,9,中技,aerial,空中,全スタイル,,共有技,common,共有技として維持
common,共通,エルボードロップ,3,小技,ground,グラウンド,全スタイル,,共有技,common,共有技として維持
common,共通,ニードロップ,4,小技,ground,グラウンド,全スタイル,,共有技,common,共有技として維持
common,共通,レッグドロップ,4,小技,ground,グラウンド,全スタイル,,共有技,common,共有技として維持
common,共通,スライディングキック,4,小技,ground,グラウンド,全スタイル,,共有技,common,共有技として維持
common,共通,ストンピング連打,3,小技,ground,グラウンド,全スタイル,,共有技,common,共有技として維持
