カテゴリKey	カテゴリ名	番号	現在のセリフ	修正後セリフ
rookie	新人王	1	まだ夢みたいです……精一杯やります！	
rookie	新人王	2	こんなに早くもらえるとは思っていなかった。もっと強くなります！	
rookie	新人王	3	先輩たちに感謝を……この賞を糧に、私も強い選手になります	
rookie	新人王	4	信じてくれた皆さんのために、絶対もっと上を目指します！	
rookie	新人王	5	私の技で、ここまで来られた。まだまだ磨きます！	
rookie	新人王	6	力で全部ぶっちぎって、気づいたら頂上にいました！	
rookie	新人王	7	速さなら誰にも負けない。これからもっと速くなります	
rookie	新人王	8	受け取る資格があるか、まだ不安です。でも、前に進みます	
bestMatch	ベストマッチ	1	あの試合、全部出し切れた。あなたがいたから	
bestMatch	ベストマッチ	2	最高の相手だった。また戦いたい	
bestMatch	ベストマッチ	3	あの瞬間、時間が止まったみたいだった	
bestMatch	ベストマッチ	4	技で魅せ合えた試合。忘れられない	
bestMatch	ベストマッチ	5	ぶつかり合えた。それだけで十分だ	
bestMatch	ベストマッチ	6	瞬きする間もなかった。最高の試合だよ	
bestMatch	ベストマッチ	7	負けても嬉しいと思えるのは、あの試合だけかもしれない	
bestMatch	ベストマッチ	8	いいものを見せられたと思う。ありがとう	
mvp	MVP	1	この一年、全てを懸けた結果だ	
mvp	MVP	2	誰よりも練習した。だから当然の結果だ	
mvp	MVP	3	チームのみんな、ありがとう。一緒に掴んだ賞だ	
mvp	MVP	4	まだ満足はしていない。来年もこの場所に立ちたい	
mvp	MVP	5	ファンの皆さんの声が、私を強くしてくれた	
mvp	MVP	6	技が通じた一年だった。来年はさらに上を見る	
mvp	MVP	7	誰も私を止められなかった。それだけだ	
mvp	MVP	8	スピードで全部持っていった。これが私のやり方	
champion	王者	1	この頂は誰にも渡さない	
champion	王者	2	王座は私のものだ。挑んでくるなら受けて立つ	
champion	王者	3	奪われるくらいなら引退する。それほどの覚悟がある	
champion	王者	4	ベルトを持つ責任がある。それが私を引き締める	
champion	王者	5	ここまで応援してくれた皆のために、守り続ける	
champion	王者	6	技で制した頂点。力があっても越えられはしない	
champion	王者	7	このベルトは力の証明だ。次の挑戦者も歓迎する	
champion	王者	8	誰より速く、誰より高く。だからここにいる	
hallOfFame	殿堂入り	1	この場所に名前が刻まれるなんて……信じられない	
hallOfFame	殿堂入り	2	長い道のりだった。でも、全部やりきった	
hallOfFame	殿堂入り	3	後輩たちへ——この業界に入ってよかった。続いてきてください	
hallOfFame	殿堂入り	4	プロレスに全てを捧げた人生に、悔いはない	
hallOfFame	殿堂入り	5	ありがとう、プロレス。ありがとう、皆さん	
hallOfFame	殿堂入り	6	技を磨き続けた日々が、ここへ繋がっていたんだな	
hallOfFame	殿堂入り	7	力で戦い続けた。その証がここにある	
hallOfFame	殿堂入り	8	走り続けて、やっとここへ辿り着いた	
