カテゴリKey	カテゴリ名	番号	話者	現在のセリフ	修正後セリフ
confrontation	宣戦布告（通常）	1	P1	今日こそ、決着をつける	
confrontation	宣戦布告（通常）	1	P2	……望むところよ	
confrontation	宣戦布告（通常）	2	P1	何度やっても結果は同じだ	
confrontation	宣戦布告（通常）	2	P2	それは終わってから言いなさい	
confrontation	宣戦布告（通常）	3	P1	この因縁、今夜終わりにしよう	
confrontation	宣戦布告（通常）	3	P2	最後にふさわしい試合にしましょう	
confrontation	宣戦布告（通常）	4	P1	覚悟はいいわね？	
confrontation	宣戦布告（通常）	4	P2	生まれた時からできてるわ	
confrontation	宣戦布告（通常）	5	P1	あなたを超える。今日、ここで	
confrontation	宣戦布告（通常）	5	P2	超えられるものなら、やってみなさい	
fatePairs	宣戦布告（宿命）	1	P1	長かった……この物語に、終止符を打つ	
fatePairs	宣戦布告（宿命）	1	P2	ええ……最高の結末を見せましょう	
fatePairs	宣戦布告（宿命）	2	P1	何度も戦った。でも今日が最後だ	
fatePairs	宣戦布告（宿命）	2	P2	わかっている。だから全力で来なさい	
fatePairs	宣戦布告（宿命）	3	P1	あなたがいなければ、今の私はいない	
fatePairs	宣戦布告（宿命）	3	P2	……お互い様よ。だから今日も全力で	
winner	決着・勝者	1		ようやく決着がついた……最高の相手だった	
winner	決着・勝者	2		この勝利は、あの人がいたから掴めた	
winner	決着・勝者	3		何度でも言う。あなたは最高のライバルだ	
winner	決着・勝者	4		この拳が届いた……それだけで十分だ	
winner	決着・勝者	5		終わった……でも、この因縁に感謝している	
loser	決着・敗者	1		負けた……でも、この試合は誇りに思う	
loser	決着・敗者	2		悔しい。でも、あなたが強かった。それだけだ	
loser	決着・敗者	3		次は……いや、今はこの敗北を受け入れる	
loser	決着・敗者	4		ありがとう。あなたのおかげで強くなれた	
loser	決着・敗者	5		完敗だ。でも私はまだ終わらない	
fateWinner	宿命決着・勝者	1		この物語に終止符を打てた……感無量だ	
fateWinner	宿命決着・勝者	2		長かった。でも、あなたなしでは辿り着けなかった	
fateWinner	宿命決着・勝者	3		これが最終章。最高のエンディングだった	
fateLoser	宿命決着・敗者	1		あなたには敵わなかった。でも、この戦いは宝物だ	
fateLoser	宿命決着・敗者	2		幾度となく戦った。すべてが私の財産だ	
fateLoser	宿命決着・敗者	3		最後まで……全力だった。悔いはない	
