種別	カテゴリ名	カテゴリKey	番号	現在のセリフ	修正後セリフ
PPV_OPPONENT	自信	confident	1	あんたの全力、見せてもらうわよ	
PPV_OPPONENT	自信	confident	2	悪いけど、今日は負けるわけにはいかないの	
PPV_OPPONENT	自信	confident	3	この大舞台、最高の気分ね	
PPV_OPPONENT	自信	confident	4	私の実力、思い知らせてあげる	
PPV_OPPONENT	闘志	fierce	1	ぶっ潰してやるわ！	
PPV_OPPONENT	闘志	fierce	2	泣いても知らないわよ？	
PPV_OPPONENT	闘志	fierce	3	容赦しない。覚悟しなさい	
PPV_OPPONENT	闘志	fierce	4	あんたじゃ私には勝てない	
PPV_OPPONENT	敬意	respectful	1	正々堂々、最高の試合にしましょう	
PPV_OPPONENT	敬意	respectful	2	あなたと戦えるのを楽しみにしてた	
PPV_OPPONENT	敬意	respectful	3	お互い全力で…最高の舞台だもの	
PPV_OPPONENT	敬意	respectful	4	この対戦、ずっと待ってました	
PPV_OPPONENT	冷静	calm	1	手加減はしない。覚悟して	
PPV_OPPONENT	冷静	calm	2	結果で語りましょう	
PPV_OPPONENT	冷静	calm	3	余計な言葉はいらないわ	
PPV_OPPONENT	冷静	calm	4	実力の差を見せてあげる	
PPV_HYPE	因縁	rivalry	1	因縁の対決！{name1}と{name2}、この大舞台で決着なるか！	
PPV_HYPE	因縁	rivalry	2	積み重ねてきた因縁——{name1}と{name2}の物語が、ここで動く！	
PPV_HYPE	格差	tierGap	1	{org2}の壁！{name1}は{name2}を越えられるか！	
PPV_HYPE	格差	tierGap	2	格上挑戦！{name1}が{org2}の{name2}に挑む！	
PPV_HYPE	実力伯仲	closeOVR	1	実力伯仲！{name1}と{name2}、どちらが勝ってもおかしくない！	
PPV_HYPE	実力伯仲	closeOVR	2	互角の実力——勝敗を分けるのは、この一瞬の判断！	
PPV_HYPE	スター対決	starMatch	1	スター対決！{name1}と{name2}、夢のカードが実現！	
PPV_HYPE	スター対決	starMatch	2	人気者同士の激突！{name1} vs {name2}、会場が沸く！	
PPV_HYPE	頂上決戦	summit	1	団体の威信を懸けた頂上決戦！{name1} vs {name2}！	
PPV_HYPE	頂上決戦	summit	2	年間王者を決める最終決戦——{name1}と{name2}、頂点に立つのはどちらだ！	
